"code","name"
"C31","Bösartige Neubildung der Nasennebenhöhlen"
"C31.0","Bösartige Neubildung: Sinus maxillaris [Kieferhöhle]"
"C31.1","Bösartige Neubildung: Sinus ethmoidalis [Siebbeinzellen]"
"C31.2","Bösartige Neubildung: Sinus frontalis [Stirnhöhle]"
"C31.3","Bösartige Neubildung: Sinus sphenoidalis [Keilbeinhöhle]"
"C31.8","Bösartige Neubildung: Nasennebenhöhlen, mehrere Teilbereiche überlappend"
"C31.9","Bösartige Neubildung: Nasennebenhöhle, nicht näher bezeichnet"
"C32","Bösartige Neubildung des Larynx"
"C32.0","Bösartige Neubildung: Glottis"
"C32.1","Bösartige Neubildung: Supraglottis"
"C32.2","Bösartige Neubildung: Subglottis"
"C32.3","Bösartige Neubildung: Larynxknorpel"
"C32.8","Bösartige Neubildung: Larynx, mehrere Teilbereiche überlappend"
"C32.9","Bösartige Neubildung: Larynx, nicht näher bezeichnet"
"C33","Bösartige Neubildung der Trachea"
"C34","Bösartige Neubildung der Bronchien und der Lunge"
"C34.0","Bösartige Neubildung: Hauptbronchus"
"C34.1","Bösartige Neubildung: Oberlappen (-Bronchus)"
"C34.2","Bösartige Neubildung: Mittellappen (-Bronchus)"
"C34.3","Bösartige Neubildung: Unterlappen (-Bronchus)"
"C34.8","Bösartige Neubildung: Bronchus und Lunge, mehrere Teilbereiche überlappend"
"C34.9","Bösartige Neubildung: Bronchus oder Lunge, nicht näher bezeichnet"
"C37","Bösartige Neubildung des Thymus"
"C38","Bösartige Neubildung des Herzens, des Mediastinums und der Pleura"
"C38.0","Bösartige Neubildung: Herz"
"C38.1","Bösartige Neubildung: Vorderes Mediastinum"
"C38.2","Bösartige Neubildung: Hinteres Mediastinum"
"C38.3","Bösartige Neubildung: Mediastinum, Teil nicht näher bezeichnet"
"C38.4","Bösartige Neubildung: Pleura"
"C38.8","Bösartige Neubildung: Herz, Mediastinum und Pleura, mehrere Teilbereiche überlappend"
"C39","Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen des Atmungssystems und sonstiger intrathorakaler Organe"
"C39.0","Bösartige Neubildung: Obere Atemwege, Teil nicht näher bezeichnet"
"C39.8","Bösartige Neubildung: Atmungsorgane und sonstige intrathorakale Organe, mehrere Teilbereiche überlappend"
"C39.9","Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Atmungssystems"
"C40","Bösartige Neubildung des Knochens und des Gelenkknorpels der Extremitäten"
"C40.0","Bösartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität"
"C40.1","Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der oberen Extremität"
"C40.2","Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität"
"C40.3","Bösartige Neubildung des Knochens und des Gelenkknorpels: Kurze Knochen der unteren Extremität"
"C40.8","Bösartige Neubildung: Knochen und Gelenkknorpel der Extremitäten, mehrere Teilbereiche überlappend"
"C40.9","Bösartige Neubildung: Knochen und Gelenkknorpel einer Extremität, nicht näher bezeichnet"
"C41","Bösartige Neubildung des Knochens und des Gelenkknorpels sonstiger und nicht näher bezeichneter Lokalisationen"
"C41.0","Bösartige Neubildung des Knochens und des Gelenkknorpels: Knochen des Hirn- und Gesichtsschädels"
"C41.1","Bösartige Neubildung des Knochens und des Gelenkknorpels: Unterkieferknochen"
"C41.2","Bösartige Neubildung des Knochens und des Gelenkknorpels: Wirbelsäule"
"C41.3","Bösartige Neubildung des Knochens und des Gelenkknorpels: Rippen, Sternum und Klavikula"
"C41.4","Bösartige Neubildung des Knochens und des Gelenkknorpels: Beckenknochen"
"C41.8","Bösartige Neubildung: Knochen und Gelenkknorpel, mehrere Teilbereiche überlappend"
"C41.9","Bösartige Neubildung: Knochen und Gelenkknorpel, nicht näher bezeichnet"
"C43","Bösartiges Melanom der Haut"
"C43.0","Bösartiges Melanom der Lippe"
"C43.1","Bösartiges Melanom des Augenlides, einschließlich Kanthus"
"C43.2","Bösartiges Melanom des Ohres und des äußeren Gehörganges"
"C43.3","Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes"
"C43.4","Bösartiges Melanom der behaarten Kopfhaut und des Halses"
"C43.5","Bösartiges Melanom des Rumpfes"
"C43.6","Bösartiges Melanom der oberen Extremität, einschließlich Schulter"
"C43.7","Bösartiges Melanom der unteren Extremität, einschließlich Hüfte"
"C43.8","Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend"
"C43.9","Bösartiges Melanom der Haut, nicht näher bezeichnet"
"C44","Sonstige bösartige Neubildungen der Haut"
"C44.0","Sonstige bösartige Neubildungen: Lippenhaut"
"C44.1","Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus"
"C44.2","Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges"
"C44.3","Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes"
"C44.4","Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses"
"C44.5","Sonstige bösartige Neubildungen: Haut des Rumpfes"
"C44.6","Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter"
"C44.7","Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte"
"C44.8","Sonstige bösartige Neubildungen: Haut, mehrere Teilbereiche überlappend"
"C44.9","Bösartige Neubildung der Haut, nicht näher bezeichnet"
"C45","Mesotheliom"
"C45.0","Mesotheliom der Pleura"
"C45.1","Mesotheliom des Peritoneums"
"C45.2","Mesotheliom des Perikards"
"C45.7","Mesotheliom sonstiger Lokalisationen"
"C45.9","Mesotheliom, nicht näher bezeichnet"
"C46","Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum]"
"C46.0","Kaposi-Sarkom der Haut"
"C46.1","Kaposi-Sarkom des Weichteilgewebes"
"C46.2","Kaposi-Sarkom des Gaumens"
"C46.3","Kaposi-Sarkom der Lymphknoten"
"C46.7","Kaposi-Sarkom sonstiger Lokalisationen"
"C46.8","Kaposi-Sarkom mehrerer Organe"
"C46.9","Kaposi-Sarkom, nicht näher bezeichnet"
"C47","Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems"
"C47.0","Bösartige Neubildung: Periphere Nerven des Kopfes, des Gesichtes und des Halses"
"C47.1","Bösartige Neubildung: Periphere Nerven der oberen Extremität, einschließlich Schulter"
"C47.2","Bösartige Neubildung: Periphere Nerven der unteren Extremität, einschließlich Hüfte"
"C47.3","Bösartige Neubildung: Periphere Nerven des Thorax"
"C47.4","Bösartige Neubildung: Periphere Nerven des Abdomens"
"C47.5","Bösartige Neubildung: Periphere Nerven des Beckens"
"C47.6","Bösartige Neubildung: Periphere Nerven des Rumpfes, nicht näher bezeichnet"
"C47.8","Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, mehrere Teilbereiche überlappend"
"C47.9","Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, nicht näher bezeichnet"
"C48","Bösartige Neubildung des Retroperitoneums und des Peritoneums"
"C48.0","Bösartige Neubildung: Retroperitoneum"
"C48.1","Bösartige Neubildung: Näher bezeichnete Teile des Peritoneums"
"C48.2","Bösartige Neubildung: Peritoneum, nicht näher bezeichnet"
"C48.8","Bösartige Neubildung: Retroperitoneum und Peritoneum, mehrere Teilbereiche überlappend"
"C49","Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe"
"C49.0","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Kopfes, des Gesichtes und des Halses"
"C49.1","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter"
"C49.2","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte"
"C49.3","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Thorax"
"C49.4","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Abdomens"
"C49.5","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Beckens"
"C49.6","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet"
"C49.8","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, mehrere Teilbereiche überlappend"
"C49.9","Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet"
"C50","Bösartige Neubildung der Brustdrüse [Mamma]"
"C50.0","Bösartige Neubildung: Brustwarze und Warzenhof"
"C50.1","Bösartige Neubildung: Zentraler Drüsenkörper der Brustdrüse"
"C50.2","Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse"
"C50.3","Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse"
"C50.4","Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse"
"C50.5","Bösartige Neubildung: Unterer äußerer Quadrant der Brustdrüse"
"C50.6","Bösartige Neubildung: Recessus axillaris der Brustdrüse"
"C50.8","Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend"
"C50.9","Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet"
"C51","Bösartige Neubildung der Vulva"
"C51.0","Bösartige Neubildung der Vulva: Labium majus"
"C51.1","Bösartige Neubildung der Vulva: Labium minus"
"C51.2","Bösartige Neubildung der Vulva: Klitoris"
"C51.8","Bösartige Neubildung: Vulva, mehrere Teilbereiche überlappend"
"C51.9","Bösartige Neubildung: Vulva, nicht näher bezeichnet"
"C52","Bösartige Neubildung der Vagina"
"C53","Bösartige Neubildung der Cervix uteri"
"C53.0","Bösartige Neubildung: Endozervix"
"C53.1","Bösartige Neubildung: Ektozervix"
"C53.8","Bösartige Neubildung: Cervix uteri, mehrere Teilbereiche überlappend"
"C53.9","Bösartige Neubildung: Cervix uteri, nicht näher bezeichnet"
"C54","Bösartige Neubildung des Corpus uteri"
"C54.0","Bösartige Neubildung: Isthmus uteri"
"C54.1","Bösartige Neubildung: Endometrium"
"C54.2","Bösartige Neubildung: Myometrium"
"C54.3","Bösartige Neubildung: Fundus uteri"
"C54.8","Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend"
"C54.9","Bösartige Neubildung: Corpus uteri, nicht näher bezeichnet"
"C55","Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet"
"C56","Bösartige Neubildung des Ovars"
"C57","Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane"
"C57.0","Bösartige Neubildung: Tuba uterina [Falloppio]"
"C57.1","Bösartige Neubildung: Lig. latum uteri"
"C57.2","Bösartige Neubildung: Lig. teres uteri"
"C57.3","Bösartige Neubildung: Parametrium"
"C57.4","Bösartige Neubildung: Uterine Adnexe, nicht näher bezeichnet"
"C57.7","Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane"
"C57.8","Bösartige Neubildung: Weibliche Genitalorgane, mehrere Teilbereiche überlappend"
"C57.9","Bösartige Neubildung: Weibliches Genitalorgan, nicht näher bezeichnet"
"C58","Bösartige Neubildung der Plazenta"
"C60","Bösartige Neubildung des Penis"
"C60.0","Bösartige Neubildung: Praeputium penis"
"C60.1","Bösartige Neubildung: Glans penis"
"C60.2","Bösartige Neubildung: Penisschaft"
"C60.8","Bösartige Neubildung: Penis, mehrere Teilbereiche überlappend"
"C60.9","Bösartige Neubildung: Penis, nicht näher bezeichnet"
"C61","Bösartige Neubildung der Prostata"
"C62","Bösartige Neubildung des Hodens"
"C62.0","Bösartige Neubildung: Dystoper Hoden"
"C62.1","Bösartige Neubildung: Deszendierter Hoden"
"C62.9","Bösartige Neubildung: Hoden, nicht näher bezeichnet"
"C63","Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane"
"C63.0","Bösartige Neubildung: Nebenhoden [Epididymis]"
"C63.1","Bösartige Neubildung: Samenstrang"
"C63.2","Bösartige Neubildung: Skrotum"
"C63.7","Bösartige Neubildung: Sonstige näher bezeichnete männliche Genitalorgane"
"C63.8","Bösartige Neubildung: Männliche Genitalorgane, mehrere Teilbereiche überlappend"
"C63.9","Bösartige Neubildung: Männliches Genitalorgan, nicht näher bezeichnet"
"C64","Bösartige Neubildung der Niere, ausgenommen Nierenbecken"
"C65","Bösartige Neubildung des Nierenbeckens"
"C66","Bösartige Neubildung des Ureters"
"C67","Bösartige Neubildung der Harnblase"
"C67.0","Bösartige Neubildung: Trigonum vesicae"
"C67.1","Bösartige Neubildung: Apex vesicae"
"C67.2","Bösartige Neubildung: Laterale Harnblasenwand"
"C67.3","Bösartige Neubildung: Vordere Harnblasenwand"
"C67.4","Bösartige Neubildung: Hintere Harnblasenwand"
"C67.5","Bösartige Neubildung: Harnblasenhals"
"C67.6","Bösartige Neubildung: Ostium ureteris"
"C67.7","Bösartige Neubildung: Urachus"
"C67.8","Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend"
"C67.9","Bösartige Neubildung: Harnblase, nicht näher bezeichnet"
"C68","Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane"
"C68.0","Bösartige Neubildung: Urethra"
"C68.1","Bösartige Neubildung: Paraurethrale Drüse"
"C68.8","Bösartige Neubildung: Harnorgane, mehrere Teilbereiche überlappend"
"C68.9","Bösartige Neubildung: Harnorgan, nicht näher bezeichnet"
"C69","Bösartige Neubildung des Auges und der Augenanhangsgebilde"
"C69.0","Bösartige Neubildung: Konjunktiva"
"C69.1","Bösartige Neubildung: Kornea"
"C69.2","Bösartige Neubildung: Retina"
"C69.3","Bösartige Neubildung: Chorioidea"
"C69.4","Bösartige Neubildung: Ziliarkörper"
"C69.5","Bösartige Neubildung: Tränendrüse und Tränenwege"
"C69.6","Bösartige Neubildung: Orbita"
"C69.8","Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend"
"C69.9","Bösartige Neubildung: Auge, nicht näher bezeichnet"
"C70","Bösartige Neubildung der Meningen"
"C70.0","Bösartige Neubildung: Hirnhäute"
"C70.1","Bösartige Neubildung: Rückenmarkhäute"
"C70.9","Bösartige Neubildung: Meningen, nicht näher bezeichnet"
"C71","Bösartige Neubildung des Gehirns"
"C71.0","Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel"
"C71.1","Bösartige Neubildung: Frontallappen"
"C71.2","Bösartige Neubildung: Temporallappen"
"C71.3","Bösartige Neubildung: Parietallappen"
"C71.4","Bösartige Neubildung: Okzipitallappen"
"C71.5","Bösartige Neubildung: Hirnventrikel"
"C71.6","Bösartige Neubildung: Zerebellum"
"C71.7","Bösartige Neubildung: Hirnstamm"
"C71.8","Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend"
"C71.9","Bösartige Neubildung: Gehirn, nicht näher bezeichnet"
"C72","Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems"
"C72.0","Bösartige Neubildung: Rückenmark"
"C72.1","Bösartige Neubildung: Cauda equina"
"C72.2","Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv]"
"C72.3","Bösartige Neubildung: N. opticus [II. Hirnnerv]"
"C72.4","Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv]"
"C72.5","Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven"
"C72.8","Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend"
"C72.9","Bösartige Neubildung: Zentralnervensystem, nicht näher bezeichnet"
"C73","Bösartige Neubildung der Schilddrüse"
"C74","Bösartige Neubildung der Nebenniere"
"C74.0","Bösartige Neubildung: Nebennierenrinde"
"C74.1","Bösartige Neubildung: Nebennierenmark"
"C74.9","Bösartige Neubildung: Nebenniere, nicht näher bezeichnet"
"C75","Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen"
"C75.0","Bösartige Neubildung: Nebenschilddrüse"
"C75.1","Bösartige Neubildung: Hypophyse"
"C75.2","Bösartige Neubildung: Ductus craniopharyngealis"
"C75.3","Bösartige Neubildung: Epiphyse [Glandula pinealis] [Zirbeldrüse]"
"C75.4","Bösartige Neubildung: Glomus caroticum"
"C75.5","Bösartige Neubildung: Glomus aorticum und sonstige Paraganglien"
"C75.8","Bösartige Neubildung: Beteiligung mehrerer endokriner Drüsen, nicht näher bezeichnet"
"C75.9","Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet"
"C76","Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen"
"C76.0","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals"
"C76.1","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Thorax"
"C76.2","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Abdomen"
"C76.3","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken"
"C76.4","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität"
"C76.5","Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität"
"C76.7","Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen"
"C76.8","Bösartige Neubildung: Sonstige und ungenau bezeichnete Lokalisationen, mehrere Teilbereiche überlappend"
"C77","Sekundäre und nicht näher bezeichnete bösartige Neubildung der Lymphknoten"
"C77.0","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Lymphknoten des Kopfes, des Gesichtes und des Halses"
"C77.1","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrathorakale Lymphknoten"
"C77.2","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intraabdominale Lymphknoten"
"C77.3","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Axilläre Lymphknoten und Lymphknoten der oberen Extremität"
"C77.4","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Inguinale Lymphknoten und Lymphknoten der unteren Extremität"
"C77.5","Sekundäre und nicht näher bezeichnete bösartige Neubildung: Intrapelvine Lymphknoten"
